Language,N,E,<k>,Î´
english,4665.0,16908.0,7.248874598070739,0.0015542183958127658
arabic,4785.0,16251.0,6.792476489028213,0.0014198320420209475
czech,5318.0,14984.0,5.635201203459947,0.0010598460040361006
german,5385.0,17316.0,6.431197771587744,0.0011945018149308588
spanish,4528.0,17396.0,7.68374558303887,0.0016973151276869602
finnish,4953.0,12733.0,5.141530385624874,0.0010382735027513882
french,4632.0,18186.0,7.852331606217617,0.001695601728831271
galician,4476.0,17438.0,7.79177837354781,0.0017411795248151532
hindi,4420.0,15319.0,6.931674208144797,0.001568606971745824
indonesian,3726.0,14961.0,8.030595813204508,0.0021558646478401365
icelandic,4837.0,14786.0,6.1137068430845565,0.0012642073703648794
italian,4814.0,18072.0,7.5081013710012465,0.0015599628861419584
japanese,4906.0,19901.0,8.112922951487974,0.0016540107954103923
korean,6371.0,13679.0,4.294145346099514,0.0006741201485242564
polish,5033.0,14840.0,5.8970792767732965,0.0011719155955431828
portuguese,5109.0,18128.0,7.096496378939127,0.001389290598852609
russian,5155.0,15432.0,5.987196896217265,0.0011616602437363728
swedish,5006.0,15676.0,6.2628845385537355,0.0012513255821286185
thai,4043.0,15988.0,7.908978481325748,0.001956699277913347
turkish,4831.0,13708.0,5.67501552473608,0.0011749514543967039
chinese,5446.0,16919.0,6.213367609254499,0.0011411143451339758
